PF10417.8 C-terminal_domain_of_1-Cys_peroxiredoxin
PF07214.11 Protein_of_unknown_function_(DUF1418)
PF07215.10 Protein_of_unknown_function_(DUF1419)
PF07220.10 Protein_of_unknown_function_(DUF1420)
PF07223.10 UBA-like_domain_(DUF1421)
PF07226.10 Protein_of_unknown_function_(DUF1422)
PF07232.10 Putative_rep_protein_(DUF1424)
PF07233.11 Protein_of_unknown_function_(DUF1425)
PF07235.10 Protein_of_unknown_function_(DUF1427)
PF07237.10 Protein_of_unknown_function_(DUF1428)
PF07242.10 Protein_of_unknown_function_(DUF1430)
PF07248.11 Protein_of_unknown_function_(DUF1431)
PF07252.10 Protein_of_unknown_function_(DUF1433)
PF07256.11 Protein_of_unknown_function_(DUF1435)
PF07270.10 Protein_of_unknown_function_(DUF1438)
PF07273.11 Protein_of_unknown_function_(DUF1439)
PF07274.11 Protein_of_unknown_function_(DUF1440)
PF07278.10 Protein_of_unknown_function_(DUF1441)
PF07279.10 Protein_of_unknown_function_(DUF1442)
PF07285.10 Protein_of_unknown_function_(DUF1444)
PF07286.11 Protein_of_unknown_function_(DUF1445)
PF07288.10 Protein_of_unknown_function_(DUF1447)
PF07290.10 Protein_of_unknown_function_(DUF1449)
PF07293.10 Protein_of_unknown_function_(DUF1450)
PF07295.10 Zinc-ribbon_containing_domain
PF07301.10 Protein_of_unknown_function_(DUF1453)
PF07305.11 Protein_of_unknown_function_(DUF1454)
PF07306.10 Protein_of_unknown_function_(DUF1455)
PF07308.12 Protein_of_unknown_function_(DUF1456)
PF07312.10 Protein_of_unknown_function_(DUF1459)
PF07313.11 Protein_of_unknown_function_(DUF1460)
PF07314.10 Protein_of_unknown_function_(DUF1461)
PF07315.10 Protein_of_unknown_function_(DUF1462)
PF07316.10 Protein_of_unknown_function_(DUF1463)
PF07318.11 Protein_of_unknown_function_(DUF1464)
PF07323.11 Protein_of_unknown_function_(DUF1465)
PF07326.10 Protein_of_unknown_function_(DUF1466)
PF07330.11 Protein_of_unknown_function_(DUF1467)
PF07338.12 Protein_of_unknown_function_(DUF1471)
PF07339.11 Protein_of_unknown_function_(DUF1472)
PF07341.10 Protein_of_unknown_function_(DUF1473)
PF07342.10 Protein_of_unknown_function_(DUF1474)
PF07343.10 Protein_of_unknown_function_(DUF1475)
PF07345.10 Domain_of_unknown_function_(DUF1476)
PF07346.10 Protein_of_unknown_function_(DUF1477)
PF07349.10 Protein_of_unknown_function_(DUF1478)
PF07350.11 Protein_of_unknown_function_(DUF1479)
PF02520.16 Domain_of_unknown_function_DUF148
PF07351.12 Protein_of_unknown_function_(DUF1480)
PF07356.11 Protein_of_unknown_function_(DUF1481)
PF07358.10 Protein_of_unknown_function_(DUF1482)
PF07363.10 Protein_of_unknown_function_(DUF1484)
PF07364.11 Metallopeptidase_family_M81
PF07368.10 Protein_of_unknown_function_(DUF1487)
PF07369.10 Protein_of_unknown_function_(DUF1488)
PF07370.10 Protein_of_unknown_function_(DUF1489)
PF07371.11 Protein_of_unknown_function_(DUF1490)
PF07372.11 Protein_of_unknown_function_(DUF1491)
PF07374.10 Protein_of_unknown_function_(DUF1492)
PF07377.11 Protein_of_unknown_function_(DUF1493)
PF07379.10 Protein_of_unknown_function_(DUF1494)
PF07381.10 Winged_helix_DNA-binding_domain_(DUF1495)
PF07383.11 Protein_of_unknown_function_(DUF1496)
PF07384.10 Protein_of_unknown_function_(DUF1497)
PF07386.10 Protein_of_unknown_function_(DUF1499)
PF02576.16 RimP_N-terminal_domain
PF07389.11 Protein_of_unknown_function_(DUF1500)
PF07394.11 Protein_of_unknown_function_(DUF1501)
PF07397.10 Repeat_of_unknown_function_(DUF1502)
PF07403.10 Protein_of_unknown_function_(DUF1505)
PF07405.10 Protein_of_unknown_function_(DUF1506)
PF07408.10 Protein_of_unknown_function_(DUF1507)
PF07411.11 Domain_of_unknown_function_(DUF1508)
PF07420.10 Protein_of_unknown_function_(DUF1509)
PF17384.1 RimP_C-terminal_SH3_domain
PF07423.10 Protein_of_unknown_function_(DUF1510)
PF07431.11 Protein_of_unknown_function_(DUF1512)
PF07433.10 Protein_of_unknown_function_(DUF1513)
PF07438.10 Protein_of_unknown_function_(DUF1514)
PF07439.10 Protein_of_unknown_function_(DUF1515)
PF07457.10 Protein_of_unknown_function_(DUF1516)
PF07466.10 Protein_of_unknown_function_(DUF1517)
PF07469.11 Domain_of_unknown_function_(DUF1518)
PF07481.10 Domain_of_Unknown_Function_(DUF1521)
PF07482.10 Domain_of_Unknown_Function_(DUF1522)
PF07509.10 Protein_of_unknown_function_(DUF1523)
PF07510.10 Protein_of_unknown_function_(DUF1524)
PF07511.10 Protein_of_unknown_function_(DUF1525)
PF07485.10 Domain_of_Unknown_Function_(DUF1259)
PF07550.10 Protein_of_unknown_function_(DUF1533)
PF07551.10 Protein_of_unknown_function_(DUF1534)
PF07005.10 Putative_sugar-binding_N-terminal_domain
PF07556.10 Protein_of_unknown_function_(DUF1538)
PF07560.10 Domain_of_Unknown_Function_(DUF1539)
PF07561.10 Domain_of_Unknown_Function_(DUF1540)
PF07563.10 Protein_of_unknown_function_(DUF1541)
PF07564.10 Domain_of_Unknown_Function_(DUF1542)
PF07566.11 Domain_of_Unknown_Function_(DUF1543)
PF07577.10 Domain_of_Unknown_Function_(DUF1547)
PF07579.10 Domain_of_Unknown_Function_(DUF1548)
PF02582.13 Uncharacterised_ACR,YagE_family_COG1723
PF07588.10 Protein_of_unknown_function_(DUF1554)
PF07590.10 Protein_of_unknown_function_(DUF1556)
PF07597.10 Protein_of_unknown_function_(DUF1560)
PF07598.10 Protein_of_unknown_function_(DUF1561)
PF07599.10 Protein_of_unknown_function_(DUF1563)
PF07600.10 Protein_of_unknown_function_(DUF1564)
PF07602.10 Protein_of_unknown_function_(DUF1565)
PF07603.10 Protein_of_unknown_function_(DUF1566)
PF07606.10 Protein_of_unknown_function_(DUF1569)
PF07607.10 Protein_of_unknown_function_(DUF1570)
PF07608.10 Protein_of_unknown_function_(DUF1571)
PF07609.10 Protein_of_unknown_function_(DUF1572)
PF07610.10 Protein_of_unknown_function_(DUF1573)
PF07611.10 Protein_of_unknown_function_(DUF1574)
PF07613.10 Protein_of_unknown_function_(DUF1576)
PF07614.10 Protein_of_unknown_function_(DUF1577)
PF07617.10 Protein_of_unknown_function_(DUF1579)
PF07618.10 Protein_of_unknown_function_(DUF1580)
PF07619.10 Protein_of_unknown_function_(DUF1581)
PF07621.10 Protein_of_unknown_function_(DUF1582)
PF07622.10 Protein_of_unknown_function_(DUF1583)
PF07625.10 Protein_of_unknown_function_(DUF1586)
PF07628.10 Protein_of_unknown_function_(DUF1589)
PF07629.10 Protein_of_unknown_function_(DUF1590)
PF07632.10 Protein_of_unknown_function_(DUF1593)
PF07643.10 Protein_of_unknown_function_(DUF1598)
PF07659.10 Domain_of_Unknown_Function_(DUF1599)
PF01519.15 Protein_of_unknown_function_DUF16
PF07667.10 Protein_of_unknown_function_(DUF1600)
PF07671.10 Protein_of_unknown_function_(DUF1601)
PF07713.12 Protein_of_unknown_function_(DUF1604)
PF07753.10 Protein_of_unknown_function_(DUF1609)
PF07754.10 Domain_of_unknown_function_(DUF1610)
PF07755.10 Domain_of_unknown_function_(DUF1611_C)_P-loop_domain
PF17396.1 Domain_of_unknown_function_(DUF1611_N)_Rossmann-like_domain
PF07756.11 Protein_of_unknown_function_(DUF1612)
PF07758.10 Protein_of_unknown_function_(DUF1614)
PF07759.11 Protein_of_unknown_function_(DUF1615)
PF07760.10 Protein_of_unknown_function_(DUF1616)
PF07761.11 Protein_of_unknown_function_(DUF1617)
PF07762.13 Protein_of_unknown_function_(DUF1618)
PF07773.10 Protein_of_unknown_function_(DUF1619)
PF07774.12 Protein_of_unknown_function_(DUF1620)
PF07784.10 Protein_of_unknown_function_(DUF1622)
PF07785.10 Protein_of_unknown_function_(DUF1623)
PF07786.11 Protein_of_unknown_function_(DUF1624)
PF07789.11 Protein_of_unknown_function_(DUF1627)
PF07791.10 Protein_of_unknown_function_(DUF1629)
PF07793.10 Protein_of_unknown_function_(DUF1631)
PF07794.10 Protein_of_unknown_function_(DUF1633)
PF07843.10 Protein_of_unknown_function_(DUF1634)
PF07795.10 Protein_of_unknown_function_(DUF1635)
PF07845.10 Protein_of_unknown_function_(DUF1636)
PF07796.10 Protein_of_unknown_function_(DUF1638)
PF07797.13 Protein_of_unknown_function_(DUF1639)
PF07798.10 Protein_of_unknown_function_(DUF1640)
PF07849.10 Protein_of_unknown_function_(DUF1641)
PF07852.10 Protein_of_unknown_function_(DUF1642)
PF07799.11 Protein_of_unknown_function_(DUF1643)
PF07800.11 Protein_of_unknown_function_(DUF1644)
PF07816.10 Protein_of_unknown_function_(DUF1645)
PF07854.11 Protein_of_unknown_function_(DUF1646)
PF07801.10 Protein_of_unknown_function_(DUF1647)
PF07853.10 Protein_of_unknown_function_(DUF1648)
PF07864.10 Protein_of_unknown_function_(DUF1651)
PF07865.10 Protein_of_unknown_function_(DUF1652)
PF07866.10 Protein_of_unknown_function_(DUF1653)
PF07867.10 Protein_of_unknown_function_(DUF1654)
PF07868.10 Protein_of_unknown_function_(DUF1655)
PF07869.11 Protein_of_unknown_function_(DUF1656)
PF07870.10 Protein_of_unknown_function_(DUF1657)
PF07871.10 Protein_of_unknown_function_(DUF1658)
PF07872.10 Protein_of_unknown_function_(DUF1659)
PF02593.13 Domain_of_unknown_function
PF07874.10 Prophage_protein_(DUF1660)
PF07877.10 Protein_of_unknown_function_(DUF1661)
PF07909.10 Protein_of_unknown_function_(DUF1663)
PF07889.11 Protein_of_unknown_function_(DUF1664)
PF07891.11 Protein_of_unknown_function_(DUF1666)
PF07892.10 Protein_of_unknown_function_(DUF1667)
PF07893.12 Protein_of_unknown_function_(DUF1668)
PF07894.11 Protein_of_unknown_function_(DUF1669)
PF02594.15 Uncharacterised_ACR,YggU_family_COG1872
PF07900.10 Protein_of_unknown_function_(DUF1670)
PF07901.10 Protein_of_unknown_function_(DUF1672)
PF07895.10 Protein_of_unknown_function_(DUF1673)
PF07896.11 Protein_of_unknown_function_(DUF1674)
PF07898.12 Protein_of_unknown_function_(DUF1676)
PF07911.12 Protein_of_unknown_function_(DUF1677)
PF07913.10 Protein_of_unknown_function_(DUF1678)
PF07914.10 Protein_of_unknown_function_(DUF1679)
PF07933.13 Protein_of_unknown_function_(DUF1681)
PF07946.13 Protein_of_unknown_function_(DUF1682)
PF07920.10 Protein_of_unknown_function_(DUF1684)
PF07939.10 Protein_of_unknown_function_(DUF1685)
PF07937.10 Protein_of_unknown_function_(DUF1686)
PF07955.10 Protein_of_unknown_function_(DUF1687)
PF07958.10 Protein_of_unknown_function_(DUF1688)
PF07954.10 Protein_of_unknown_function_(DUF1689)
PF02596.14 Uncharacterised_ArCR,COG2043
PF07956.10 Protein_of_Unknown_function_(DUF1690)
PF07950.10 Protein_of_unknown_function_(DUF1691)
PF07997.10 Protein_of_unknown_function_(DUF1694)
PF08002.10 Protein_of_unknown_function_(DUF1697)
PF08004.10 Protein_of_unknown_function_(DUF1699)
PF08006.10 Protein_of_unknown_function_(DUF1700)
PF08012.10 Protein_of_unknown_function_(DUF1702)
PF08014.10 Domain_of_unknown_function_(DUF1704)
PF08019.11 Domain_of_unknown_function_(DUF1705)
PF08020.10 Protein_of_unknown_function_(DUF1706)
PF08044.10 Domain_of_unknown_function_(DUF1707)
PF08101.10 Domain_of_unknown_function_(DUF1708)
PF08217.10 Fungal_domain_of_unknown_function_(DUF1712)
PF08213.10 Mitochondrial_domain_of_unknown_function_(DUF1713)
PF05414.10 Viral_domain_of_unknown_function_(DUF1717)
PF08224.10 Domain_of_unknown_function_(DUF1719)
PF08226.10 Domain_of_unknown_function_(DUF1720)
PF08349.10 Protein_of_unknown_function_(DUF1722)
PF08350.9 Domain_of_unknown_function_(DUF1724)
PF08333.10 Protein_of_unknown_function_(DUF1725)
PF08351.10 Domain_of_unknown_function_(DUF1726)
PF08353.9 Domain_of_unknown_function_(DUF1727)
PF08354.9 Domain_of_unknown_function_(DUF1729)
PF08331.9 Domain_of_unknown_function_(DUF1730)
PF08338.10 Domain_of_unknown_function_(DUF1731)
PF08340.10 Domain_of_unknown_function_(DUF1732)
PF08522.9 Domain_of_unknown_function_(DUF1735)
PF08409.10 Domain_of_unknown_function_(DUF1736)
PF08410.9 Domain_of_unknown_function_(DUF1737)
PF08401.10 Domain_of_unknown_function_(DUF1738)
PF08427.9 Domain_of_unknown_function_(DUF1741)
PF08489.10 Domain_of_unknown_function_(DUF1743)
PF08490.11 Domain_of_unknown_function_(DUF1744)
PF08508.9 Fungal_domain_of_unknown_function_(DUF1746)
PF08520.9 Fungal_protein_of_unknown_function_(DUF1748)
PF08538.9 Protein_of_unknown_function_(DUF1749)
PF08551.9 Eukaryotic_integral_membrane_protein_(DUF1751)
PF08550.9 Fungal_protein_of_unknown_function_(DUF1752)
PF08555.9 Eukaryotic_family_of_unknown_function_(DUF1754)
PF08560.9 Protein_of_unknown_function_(DUF1757)
PF05585.11 Putative_peptidase_(DUF1758)
PF03564.14 Protein_of_unknown_function_(DUF1759)
PF08570.9 Protein_of_unknown_function_(DUF1761)
PF08576.9 Eukaryotic_protein_of_unknown_function_(DUF1764)
PF08578.9 Protein_of_unknown_function_(DUF1765)
PF08719.10 Domain_of_unknown_function_(DUF1768)
PF08588.9 Protein_of_unknown_function_(DUF1769)
PF02620.16 Uncharacterized_ACR,COG1399
PF08589.9 Fungal_protein_of_unknown_function_(DUF1770)
PF08590.9 Domain_of_unknown_function_(DUF1771)
PF08592.10 Domain_of_unknown_function_(DUF1772)
PF08593.9 Domain_of_unknown_function
PF08611.9 Fungal_protein_of_unknown_function_(DUF1774)
PF07987.10 Domain_of_unkown_function_(DUF1775)
PF08643.9 Fungal_family_of_unknown_function_(DUF1776)
PF08648.11 Protein_of_unknown_function_(DUF1777)
PF08681.10 Protein_of_unknown_function_(DUF1778)
PF08680.9 TATA-box_binding
PF08682.9 Putative_endonuclease,protein_of_unknown_function_(DUF1780)
PF08735.9 Putative_pyruvate_format-lyase_activating_enzyme_(DUF1786)
PF08747.10 Domain_of_unknown_function_(DUF1788)
PF02622.14 Uncharacterized_ACR,COG1678
PF08760.10 Domain_of_unknown_function_(DUF1793)
PF08768.10 Domain_of_unknown_function_(DUF1794)
PF08795.9 Putative_papain-like_cysteine_peptidase_(DUF1796)
PF08796.9 Protein_of_unknown_function_(DUF1797)
PF08807.9 Bacterial_domain_of_unknown_function_(DUF1798)
PF08809.10 Phage_related_hypothetical_protein_(DUF1799)
PF08811.10 Protein_of_unknown_function_(DUF1800)
PF08818.10 Domain_of_unknown_function_(DU1801)
PF08819.10 Domain_of_unknown_function_(DUF1802)
PF08820.9 Domain_of_unknown_function_(DUF1803)
PF08822.10 Protein_of_unknown_function_(DUF1804)
PF08827.10 Domain_of_unknown_function_(DUF1805)
PF08830.9 Protein_of_unknown_function_(DUF1806)
PF08837.10 Protein_of_unknown_function_(DUF1810)
PF08838.9 Protein_of_unknown_function_(DUF1811)
PF08844.9 Domain_of_unknown_function_(DUF1815)
PF08846.9 Domain_of_unknown_function_(DUF1816)
PF08848.10 Domain_of_unknown_function_(DUF1818)
PF08849.10 Putative_inner_membrane_protein_(DUF1819)
PF08850.10 Domain_of_unknown_function_(DUF1820)
PF08852.10 Protein_of_unknown_function_(DUF1822)
PF08853.10 Domain_of_unknown_function_(DUF1823)
PF08854.9 Domain_of_unknown_function_(DUF1824)
PF08855.9 Domain_of_unknown_function_(DUF1825)
PF08856.10 Protein_of_unknown_function_(DUF1826)
PF08860.9 Domain_of_unknown_function_(DUF1827)
PF08861.9 Domain_of_unknown_function_DUF1828
PF08862.9 Domain_of_unknown_function_DUF1829
PF08865.10 Domain_of_unknown_function_(DUF1830)
PF08866.9 Putative_amino_acid_metabolism
PF08875.10 Domain_of_unknown_function_(DUF1833)
PF08873.10 Domain_of_unknown_function_(DUF1834)
PF08874.9 Domain_of_unknown_function_(DUF1835)
PF08876.10 Domain_of_unknown_function_(DUF1836)
PF08878.10 Domain_of_unknown_function_(DUF1837)
PF08894.10 Protein_of_unknown_function_(DUF1838)
PF08893.9 Domain_of_unknown_function_(DUF1839)
PF08895.10 Domain_of_unknown_function_(DUF1840)
PF08897.10 Domain_of_unknown_function_(DUF1841)
PF08896.9 Domain_of_unknown_function_(DUF1842)
PF08898.9 Domain_of_unknown_function_(DUF1843)
PF08899.10 Domain_of_unknown_function_(DUF1844)
PF08900.10 Domain_of_unknown_function_(DUF1845)
PF08903.10 Domain_of_unknown_function_(DUF1846)
PF08901.10 Protein_of_unknown_function_(DUF1847)
PF08902.10 Domain_of_unknown_function_(DUF1848)
PF08904.10 Domain_of_unknown_function_(DUF1849)
PF08905.10 Domain_of_unknown_function_(DUF1850)
PF08906.10 Domain_of_unknown_function_(DUF1851)
PF08908.10 Domain_of_unknown_function_(DUF1852)
PF08907.10 Domain_of_unknown_function_(DUF1853)
PF08909.10 Domain_of_unknown_function_(DUF1854)
PF08983.9 Domain_of_unknown_function_(DUF1856)
PF08982.10 Domain_of_unknown_function_(DUF1857)
PF08984.10 Domain_of_unknown_function_(DUF1858)
PF08948.9 Domain_of_unknown_function_(DUF1859)
PF08949.9 Domain_of_unknown_function_(DUF1860)
PF08950.9 Protein_of_unknown_function_(DUF1861)
PF08937.10 MTH538_TIR-like_domain_(DUF1863)
PF08933.10 Domain_of_unknown_function_(DUF1864)
PF08952.10 Domain_of_unknown_function_(DUF1866)
PF08956.9 Domain_of_unknown_function_(DUF1869)
PF08965.9 Domain_of_unknown_function_(DUF1870)
PF08958.9 Domain_of_unknown_function_(DUF1871)
PF08960.9 Domain_of_unknown_function_(DUF1874)
PF08962.10 Domain_of_unknown_function_(DUF1876)
PF08974.9 Domain_of_unknown_function_(DUF1877)
PF08963.9 Protein_of_unknown_function_(DUF1878)
PF02639.13 Uncharacterized_BCR,YaiI/YqxD_family_COG1671
PF08966.10 Domain_of_unknown_function_(DUF1882)
PF08980.9 Domain_of_unknown_function_(DUF1883)
PF08967.9 Domain_of_unknown_function_(DUF1884)
PF08968.9 Domain_of_unknown_function_(DUF1885)
PF09002.10 Domain_of_unknown_function_(DUF1887)
PF08986.9 Domain_of_unknown_function_(DUF1889)
PF09001.10 Domain_of_unknown_function_(DUF1890)
PF09004.9 Domain_of_unknown_function_(DUF1891)
PF08987.9 Protein_of_unknown_function_(DUF1892)
PF08979.10 Domain_of_unknown_function_(DUF1894)
PF08989.9 Domain_of_unknown_function_(DUF1896)
PF09005.9 Domain_of_unknown_function_(DUF1897)
PF08953.10 Domain_of_unknown_function_(DUF1899)
PF01579.17 Domain_of_unknown_function_(DUF19)
PF02641.14 Uncharacterized_ACR,COG1993
PF08972.10 Domain_of_unknown_function_(DUF1902)
PF08921.10 Domain_of_unknown_function_(DUF1904)
PF08922.10 Domain_of_unknown_function_(DUF1905)
PF08924.10 Domain_of_unknown_function_(DUF1906)
PF08925.10 Domain_of_Unknown_Function_(DUF1907)
PF08926.10 Domain_of_unknown_function_(DUF1908)
PF08928.9 Domain_of_unknown_function_(DUF1910)
PF08929.9 Domain_of_unknown_function_(DUF1911)
PF08930.9 Domain_of_unknown_function_(DUF1912)
PF08939.9 Domain_of_unknown_function_(DUF1917)
PF08940.10 Domain_of_unknown_function_(DUF1918)
PF08942.9 Domain_of_unknown_function_(DUF1919)
PF02643.14 Uncharacterized_ACR,COG1430
PF09081.9 Domain_of_unknown_function_(DUF1921)
PF09082.9 Domain_of_unknown_function_(DUF1922)
PF09083.9 Domain_of_unknown_function_(DUF1923)
PF09086.10 Domain_of_unknown_function_(DUF1924)
PF09094.10 Domain_of_unknown_function_(DUF1925)
PF09095.10 Domain_of_unknown_function_(DUF1926)
PF09118.10 Domain_of_unknown_function_(DUF1929)
PF09122.9 Domain_of_unknown_function_(DUF1930)
PF09123.10 Domain_of_unknown_function_(DUF1931)
PF09130.10 Domain_of_unknown_function_(DUF1932)
PF09147.9 Domain_of_unknown_function_(DUF1933)
PF09148.9 Domain_of_unknown_function_(DUF1934)
PF09149.9 Domain_of_unknown_function_(DUF1935)
PF09151.9 Domain_of_unknown_function_(DUF1936)
PF09152.9 Domain_of_unknown_function_(DUF1937)
PF09153.9 Domain_of_unknown_function_(DUF1938)
PF09154.9 Domain_of_unknown_function_(DUF1939)
PF09155.9 Domain_of_unknown_function_(DUF1940)
PF09167.10 Domain_of_unknown_function_(DUF1942)
PF09172.10 Domain_of_unknown_function_(DUF1943)
PF09175.9 Domain_of_unknown_function_(DUF1944)
PF09178.9 Domain_of_unknown_function_(DUF1945)
PF09183.9 Domain_of_unknown_function_(DUF1947)
PF09185.9 Domain_of_unknown_function_(DUF1948)
PF09186.10 Domain_of_unknown_function_(DUF1949)
PF09188.9 Domain_of_unknown_function_(DUF1951)
PF09189.9 Domain_of_unknown_function_(DUF1952)
PF09196.9 Domain_of_unknown_function_(DUF1953)
PF09205.9 Domain_of_unknown_function_(DUF1955)
PF09209.10 Domain_of_unknown_function_(DUF1956)
PF09210.10 Domain_of_unknown_function_(DUF1957)
PF09211.9 Domain_of_unknown_function_(DUF1958)
PF09218.9 Domain_of_unknown_function_(DUF1959)
PF09224.10 Domain_of_unknown_function_(DUF1961)
PF09227.9 Domain_of_unknown_function_(DUF1962)
PF09234.9 Domain_of_unknown_function_(DUF1963)
PF09244.9 Domain_of_unknown_function_(DUF1964)
PF09248.9 Domain_of_unknown_function_(DUF1965)
PF09260.10 Domain_of_unknown_function_(DUF1966)
PF09269.10 Domain_of_unknown_function_(DUF1967)
PF09291.9 Domain_of_unknown_function_(DUF1968)
PF09301.9 Domain_of_unknown_function_(DUF1970)
PF09313.10 Domain_of_unknown_function_(DUF1971)
PF09314.10 Domain_of_unknown_function_(DUF1972)
PF09317.10 Domain_of_unknown_function_(DUF1974)
PF09320.10 Domain_of_unknown_function_(DUF1977)
PF09321.9 Domain_of_unknown_function_(DUF1978)
PF09322.9 Domain_of_unknown_function_(DUF1979)
PF09323.9 Domain_of_unknown_function_(DUF1980)
PF09324.9 Domain_of_unknown_function_(DUF1981)
PF09327.10 Domain_of_unknown_function_(DUF1983)
PF09331.10 Domain_of_unknown_function_(DUF1985)
PF09342.10 Domain_of_unknown_function_(DUF1986)
PF09345.9 Domain_of_unknown_function_(DUF1987)
PF09347.9 Domain_of_unknown_function_(DUF1989)
PF09348.9 Domain_of_unknown_function_(DUF1990)
PF09350.9 Domain_of_unknown_function_(DUF1992)
PF09351.9 Domain_of_unknown_function_(DUF1993)
PF09353.9 Domain_of_unknown_function_(DUF1995)
PF09362.9 Domain_of_unknown_function_(DUF1996)
PF09366.9 Protein_of_unknown_function_(DUF1997)
PF09369.9 Domain_of_unknown_function_(DUF1998)
PF09390.9 Protein_of_unknown_function_(DUF1999)
PF09391.9 Protein_of_unknown_function_(DUF2000)
PF09393.9 Phage_tail_tube_protein
PF09400.9 Protein_of_unknown_function_(DUF2002)
PF09404.9 Eukaryotic_protein_of_unknown_function_(DUF2003)
PF09406.9 Protein_of_unknown_function_(DUF2004)
PF09413.9 Putative_prokaryotic_signal_transducing_protein
PF09418.9 Protein_of_unknown_function_(DUF2009)
PF09428.9 Fungal_protein_of_unknown_function_(DUF2011)
PF09430.9 Protein_of_unknown_function_(DUF2012)
PF09431.9 Protein_of_unknown_function_(DUF2013)
PF09427.9 Domain_of_unknown_function_(DUF2014)
PF09435.9 Fungal_protein_of_unknown_function_(DUF2015)
PF09436.9 Domain_of_unknown_function_(DUF2016)
PF09438.9 Domain_of_unknown_function_(DUF2017)
PF09442.9 Domain_of_unknown_function_(DUF2018)
PF09450.9 Domain_of_unknown_function_(DUF2019)
PF02656.14 Domain_of_unknown_function_(DUF202)
PF09449.9 Domain_of_unknown_function_(DUF2020)
PF09633.9 Protein_of_unknown_function_(DUF2023)
PF09630.9 Domain_of_unknown_function_(DUF2024)
PF09634.9 Protein_of_unknown_function_(DUF2025)
PF09641.9 Protein_of_unknown_function_(DUF2026)
PF09640.9 Domain_of_unknown_function_(DUF2027)
PF09667.9 Domain_of_unknown_function_(DUF2028)
PF09592.9 Protein_of_unknown_function_(DUF2031)
PF10356.8 Protein_of_unknown_function_(DUF2034)
PF10217.8 Uncharacterized_conserved_protein_(DUF2039)
PF09745.8 Coiled-coil_domain-containing_protein_55_(DUF2040)
PF09740.8 Uncharacterized_conserved_protein_(DUF2043)
PF09741.8 Uncharacterized_conserved_protein_(DUF2045)
PF09755.8 Uncharacterized_conserved_protein_H4_(DUF2046)
PF09752.8 Abhydrolase_domain_containing_18
PF09747.8 Coiled-coil_domain_containing_protein_(DUF2052)
PF09767.8 Predicted_membrane_protein_(DUF2053)
PF10218.8 Uncharacterized_conserved_protein_(DUF2054)
PF09829.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2057)
PF09831.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2058)
PF09832.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2059)
PF09834.8 Predicted_membrane_protein_(DUF2061)
PF09835.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2062)
PF09836.8 Putative_DNA-binding_domain
PF09837.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2064)
PF09838.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2065)
PF09839.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2066)
PF09840.8 Uncharacterized_protein_conserved_in_archaea_(DUF2067)
PF09842.8 Predicted_membrane_protein_(DUF2069)
PF09843.8 Predicted_membrane_protein_(DUF2070)
PF09844.8 Uncharacterized_conserved_protein_(COG2071)
PF09845.8 Zn-ribbon_containing_protein
PF09846.8 Uncharacterized_protein_conserved_in_archaea_(DUF2073)
PF09848.8 Uncharacterized_conserved_protein_(DUF2075)
PF09849.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2076)
PF09852.8 Predicted_membrane_protein_(DUF2079)
PF02677.13 Uncharacterized_BCR,COG1636
PF09853.8 Putative_transposon-encoded_protein_(DUF2080)
PF09856.8 Predicted_transcriptional_regulator_(DUF2083)
PF09858.8 Predicted_membrane_protein_(DUF2085)
PF09860.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2087)
PF09861.8 Domain_of_unknown_function_(DUF2088)
PF09862.8 Protein_of_unknown_function_(DUF2089)
PF09863.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2090)
PF09865.8 Predicted_periplasmic_protein_(DUF2092)
PF09866.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2093)
PF09867.8 Uncharacterized_protein_conserved_in_bacteria_(DUF2094)
PF09868.8 Uncharacterized_protein_conserved_in_archaea_(DUF2095)
PF09869.8 Uncharacterized_protein_conserved_in_archaea_(DUF2096)
PF09870.8 Uncharacterized_protein_conserved_in_archaea_(DUF2097)
PF09871.8 Uncharacterized_protein_conserved_in_archaea_(DUF2098)
PF09872.8 Uncharacterized_protein_conserved_in_archaea_(DUF2099)
PF01595.19 Domain_of_unknown_function_DUF21
PF09873.8 Uncharacterized_protein_conserved_in_archaea_(DUF2100)
PF09874.8 Predicted_membrane_protein_(DUF2101)
PF09875.8 Uncharacterized_protein_conserved_in_archaea_(DUF2102)
PF09876.8 Predicted_metal-binding_protein_(DUF2103)
PF09877.8 Predicted_membrane_protein_(DUF2104)
PF09878.8 Predicted_membrane_protein_(DUF2105)
PF09879.8 Predicted_membrane_protein_(DUF2106)
PF09880.8 Predicted_membrane_protein_(DUF2107)
PF09881.8 Predicted_membrane_protein_(DUF2108)
PF09882.8 Predicted_membrane_protein_(DUF2109)
PF02680.13 Uncharacterized_ArCR,COG1888
PF09883.8 Uncharacterized_protein_conserved_in_archaea_(DUF2110)
PF09884.8 Uncharacterized_protein_conserved_in_archaea_(DUF2111)
