Accession	Name	Function	Isology Type	EC Number
TIGR01372	soxA	sarcosine oxidase, alpha subunit family	subfamily	
TIGR01373	soxB	sarcosine oxidase, beta subunit family	subfamily	
TIGR01374	soxD	sarcosine oxidase, delta subunit family	subfamily	
TIGR01375	soxG	sarcosine oxidase, gamma subunit family	subfamily	1.5.3.1
TIGR01376	POMP_repeat	chlamydial polymorphic outer membrane protein repeat	repeat	
TIGR01377	soxA_mon	sarcosine oxidase, monomeric form	subfamily	
TIGR01378	thi_PPkinase	thiamine pyrophosphokinase	equivalog	2.7.6.2
TIGR01379	thiL	thiamine-phosphate kinase	equivalog	2.7.4.16
TIGR01380	glut_syn	glutathione synthase	equivalog	6.3.2.3
TIGR01381	E1_like_apg7	E1-like protein-activating enzyme Gsa7p/Apg7p	equivalog	
TIGR01382	PfpI	intracellular protease, PfpI family	subfamily	
TIGR01383	not_thiJ	DJ-1 family protein	subfamily	
TIGR01384	TFS_arch	transcription factor S	equivalog	
TIGR01385	TFSII	transcription elongation factor S-II	equivalog	
TIGR01386	cztS_silS_copS	heavy metal sensor kinase	subfamily	2.7.13.3
TIGR01387	cztR_silR_copR	heavy metal response regulator	subfamily	
TIGR01388	rnd	ribonuclease D	equivalog	3.1.13.5
TIGR01389	recQ	ATP-dependent DNA helicase RecQ	equivalog	3.6.4.12
TIGR01390	CycNucDiestase	2',3'-cyclic-nucleotide 2'-phosphodiesterase	equivalog	3.1.4.16
TIGR01391	dnaG	DNA primase	equivalog_domain	2.7.7.-
TIGR01392	homoserO_Ac_trn	homoserine O-acetyltransferase	equivalog	2.3.1.31
TIGR01393	lepA	elongation factor 4	equivalog	3.6.5.-
TIGR01394	TypA_BipA	GTP-binding protein TypA/BipA	equivalog	
TIGR01395	FlgC	flagellar basal-body rod protein FlgC	equivalog	
TIGR01396	FlgB	flagellar basal-body rod protein FlgB	equivalog	
TIGR01397	fliM_switch	flagellar motor switch protein FliM	equivalog	
TIGR01398	FlhA	flagellar biosynthesis protein FlhA	equivalog	
TIGR01399	hrcV	type III secretion protein, HrcV family	subfamily	
TIGR01400	fliR	flagellar biosynthetic protein FliR	equivalog	
TIGR01401	fliR_like_III	type III secretion apparatus protein SpaR/YscT/HrcT	equivalog	
TIGR01402	fliQ	flagellar biosynthetic protein FliQ	equivalog	
TIGR01403	fliQ_rel_III	type III secretion protein, HrpO family	subfamily	
TIGR01404	FlhB_rel_III	type III secretion protein, YscU/HrpY family	subfamily	
TIGR01405	polC_Gram_pos	DNA polymerase III, alpha subunit, Gram-positive type	equivalog	2.7.7.7
TIGR01406	dnaQ_proteo	DNA polymerase III, epsilon subunit	equivalog	2.7.7.7
TIGR01407	dinG_rel	putative DnaQ family exonuclease/DinG family helicase	hypoth_equivalog	
TIGR01408	Ube1	ubiquitin-activating enzyme E1	subfamily	
TIGR01409	TAT_signal_seq	Tat (twin-arginine translocation) pathway signal sequence	domain	
TIGR01410	tatB	twin arginine-targeting protein translocase TatB	equivalog	
TIGR01411	tatAE	twin arginine-targeting protein translocase, TatA/E family	subfamily	
TIGR01412	tat_substr_1	Tat-translocated enzyme	hypoth_equivalog	
TIGR01413	Dyp_perox_fam	Dyp-type peroxidase family	superfamily	
TIGR01414	autotrans_barl	outer membrane autotransporter barrel domain	domain	
TIGR01415	trpB_rel	pyridoxal-phosphate dependent TrpB-like enzyme	hypoth_equivalog	
TIGR01416	Rieske_proteo	ubiquinol-cytochrome c reductase, iron-sulfur subunit	equivalog	1.10.2.2
TIGR01417	PTS_I_fam	phosphoenolpyruvate-protein phosphotransferase	equivalog_domain	2.7.3.9
TIGR01418	PEP_synth	phosphoenolpyruvate synthase	equivalog	2.7.9.2
TIGR01419	nitro_reg_IIA	PTS IIA-like nitrogen-regulatory protein PtsN	equivalog	
TIGR01420	pilT_fam	twitching motility protein	subfamily	
TIGR01421	gluta_reduc_1	glutathione-disulfide reductase	equivalog	1.8.1.7
TIGR01422	phosphonatase	phosphonoacetaldehyde hydrolase	equivalog	3.11.1.1
TIGR01423	trypano_reduc	trypanothione-disulfide reductase	equivalog	1.8.1.12
TIGR01424	gluta_reduc_2	glutathione-disulfide reductase	equivalog	1.8.1.7
TIGR01425	SRP54_euk	signal recognition particle protein SRP54	equivalog	
TIGR01426	MGT	glycosyltransferase, MGT family	subfamily	2.4.1.-
TIGR01427	PTS_IIC_fructo	PTS system, Fru family, IIC component	subfamily_domain	
TIGR01428	HAD_type_II	haloacid dehalogenase, type II	equivalog	3.8.1.2
TIGR01429	AMP_deaminase	AMP deaminase	equivalog	3.5.4.6
TIGR01430	aden_deam	adenosine deaminase	equivalog	3.5.4.4
TIGR01431	adm_rel	adenosine deaminase-related growth factor	subfamily	
TIGR01432	QOXA	cytochrome aa3 quinol oxidase, subunit II	equivalog	1.10.3.-
TIGR01433	CyoA	ubiquinol oxidase, subunit II	equivalog	1.10.3.-
TIGR01434	glu_cys_ligase	glutamate--cysteine ligase	equivalog	6.3.2.2
TIGR01435	glu_cys_lig_rel	glutamate--cysteine ligase/glutathione synthase	equivalog	6.3.2.2 6.3.2.3
TIGR01436	glu_cys_lig_pln	glutamate--cysteine ligase	equivalog	6.3.2.2
TIGR01437	selA_rel	uncharacterized pyridoxal phosphate-dependent enzyme	hypoth_equivalog	
TIGR01438	TGR	thioredoxin and glutathione reductase	subfamily	1.6.4.-
TIGR01439	lp_hng_hel_AbrB	transcriptional regulator, AbrB family	domain	
TIGR01440	TIGR01440	TIGR01440 family protein	hypoth_equivalog	
TIGR01441	GPR	GPR endopeptidase	equivalog	3.4.24.78
TIGR01442	SASP_gamma	small, acid-soluble spore protein, gamma-type	subfamily	
TIGR01443	intein_Cterm	intein C-terminal splicing region	domain	
TIGR01444	fkbM_fam	methyltransferase, FkbM family	subfamily_domain	
TIGR01445	intein_Nterm	intein N-terminal splicing region	domain	
TIGR01446	DnaD_dom	DnaD domain protein	domain	
TIGR01447	recD	exodeoxyribonuclease V, alpha subunit	equivalog	3.1.11.5
TIGR01448	recD_rel	helicase, RecD/TraA family	hypoth_equivalog	
TIGR01449	PGP_bact	phosphoglycolate phosphatase, bacterial	equivalog	3.1.3.18
TIGR01450	recC	exodeoxyribonuclease V, gamma subunit	equivalog	3.1.11.5
TIGR01451	B_ant_repeat	conserved repeat domain	domain	
TIGR01452	PGP_euk	phosphoglycolate/pyridoxal phosphate phosphatase family	subfamily	3.1.3.18
TIGR01453	grpIintron_endo	group I intron endonuclease	subfamily	
TIGR01454	AHBA_synth_RP	AHBA synthesis associated protein	hypoth_equivalog	
TIGR01455	glmM	phosphoglucosamine mutase	equivalog	5.4.2.10
TIGR01456	CECR5	HAD hydrolase, TIGR01456 family	hypoth_equivalog	
TIGR01457	HAD-SF-IIA-hyp2	HAD hydrolase, TIGR01457 family	hypoth_equivalog	
TIGR01458	HAD-SF-IIA-hyp3	HAD hydrolase, TIGR01458 family	hypoth_equivalog	
TIGR01459	HAD-SF-IIA-hyp4	HAD hydrolase, TIGR01459 family	hypoth_equivalog	
TIGR01460	HAD-SF-IIA	HAD hydrolase, family IIA	subfamily	
TIGR01461	greB	transcription elongation factor GreB	equivalog	
TIGR01462	greA	transcription elongation factor GreA	subfamily_domain	
TIGR01463	mtaA_cmuA	methyltransferase, MtaA/CmuA family	subfamily	2.1.1.-
TIGR01464	hemE	uroporphyrinogen decarboxylase	equivalog	4.1.1.37
TIGR01465	cobM_cbiF	precorrin-4 C11-methyltransferase	equivalog	2.1.1.133
TIGR01466	cobJ_cbiH	precorrin-3B C17-methyltransferase	equivalog_domain	2.1.1.131
TIGR01467	cobI_cbiL	precorrin-2 C(20)-methyltransferase	equivalog	2.1.1.130
TIGR01469	cobA_cysG_Cterm	uroporphyrinogen-III C-methyltransferase	equivalog_domain	2.1.1.107
TIGR01470	cysG_Nterm	siroheme synthase, N-terminal domain	subfamily_domain	
TIGR01472	gmd	GDP-mannose 4,6-dehydratase	equivalog	4.2.1.47
TIGR01473	cyoE_ctaB	protoheme IX farnesyltransferase	equivalog	2.5.1.-
TIGR01474	ubiA_proteo	4-hydroxybenzoate polyprenyl transferase	equivalog	2.5.1.-
TIGR01475	ubiA_other	putative 4-hydroxybenzoate polyprenyltransferase	hypoth_equivalog	2.5.1.-
TIGR01476	chlor_syn_BchG	bacteriochlorophyll/chlorophyll synthetase	subfamily	2.5.1.-
TIGR01477	RIFIN	variant surface antigen, rifin family	paralog	
TIGR01478	STEVOR	variant surface antigen, stevor family	paralog	
TIGR01479	GMP_PMI	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	equivalog	5.3.1.8 2.7.7.13
TIGR01480	copper_res_A	copper-resistance protein, CopA family	subfamily	
TIGR01481	ccpA	catabolite control protein A	equivalog	
TIGR01482	SPP-subfamily	sucrose-phosphate phosphatase subfamily	subfamily	3.1.3.-
TIGR01484	HAD-SF-IIB	HAD hydrolase, family IIB	subfamily	
TIGR01485	SPP_plant-cyano	sucrose phosphatase	equivalog	3.1.3.24
TIGR01486	HAD-SF-IIB-MPGP	mannosyl-3-phosphoglycerate phosphatase family	subfamily	3.1.3.-
TIGR01487	Pglycolate_arch	phosphoglycolate phosphatase, TA0175-type	equivalog	3.1.3.18
TIGR01488	HAD-SF-IB	HAD phosphoserine phosphatase-like hydrolase, family IB	subfamily	
TIGR01489	DKMTPPase-SF	2,3-diketo-5-methylthio-1-phosphopentane phosphatase	subfamily	
TIGR01490	HAD-SF-IB-hyp1	HAD hydrolase, family IB	hypoth_equivalog	
TIGR01491	HAD-SF-IB-PSPlk	phosphoserine phosphatase-like hydrolase, archaeal	hypoth_equivalog	
TIGR01492	CPW_WPC	Plasmodium falciparum CPW-WPC domain	domain	
TIGR01493	HAD-SF-IA-v2	HAD hydrolase, family IA, variant 2	subfamily	
TIGR01494	ATPase_P-type	HAD ATPase, P-type, family IC	subfamily	3.6.3.-
TIGR01495	ETRAMP	early transcribed membrane protein (ETRAMP) family	paralog	
TIGR01496	DHPS	dihydropteroate synthase	equivalog	2.5.1.15
TIGR01497	kdpB	K+-transporting ATPase, B subunit	equivalog	3.6.3.12
TIGR01498	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	equivalog	2.7.6.3
TIGR01499	folC	bifunctional protein FolC	subfamily	6.3.2.-
TIGR01500	sepiapter_red	sepiapterin reductase	equivalog	1.1.1.153
TIGR01501	MthylAspMutase	methylaspartate mutase, S subunit	equivalog	5.4.99.1
TIGR01502	B_methylAsp_ase	methylaspartate ammonia-lyase	equivalog	4.3.1.2
TIGR01503	MthylAspMut_E	methylaspartate mutase, E subunit	equivalog	5.4.99.1
TIGR01504	glyox_carbo_lig	glyoxylate carboligase	equivalog	4.1.1.47
TIGR01505	tartro_sem_red	2-hydroxy-3-oxopropionate reductase	equivalog	1.1.1.60
TIGR01506	ribC_arch	riboflavin synthase	equivalog	2.5.1.9
TIGR01507	hopene_cyclase	squalene-hopene cyclase	equivalog	5.4.99.17
TIGR01508	rib_reduct_arch	diaminohydroxyphosphoribosylaminopyrimidine reductase	equivalog	1.1.1.-
TIGR01509	HAD-SF-IA-v3	HAD hydrolase, family IA, variant 3	subfamily	
TIGR01510	coaD_prev_kdtB	pantetheine-phosphate adenylyltransferase	equivalog	2.7.7.3
TIGR01511	ATPase-IB1_Cu	copper-translocating P-type ATPase	equivalog	3.6.3.4
TIGR01512	ATPase-IB2_Cd	cadmium-translocating P-type ATPase	equivalog	3.6.3.3
TIGR01513	NAPRTase_put	nicotinate phosphoribosyltransferase	hypoth_equivalog	6.3.4.21
TIGR01514	NAPRTase	nicotinate phosphoribosyltransferase	equivalog	6.3.4.21
TIGR01515	branching_enzym	1,4-alpha-glucan branching enzyme	equivalog	2.4.1.18
TIGR01517	ATPase-IIB_Ca	calcium-translocating P-type ATPase, PMCA-type	equivalog	3.6.3.8
TIGR01518	g3p_cytidyltrns	glycerol-3-phosphate cytidylyltransferase	equivalog	2.7.7.39
TIGR01519	plasmod_dom_1	Plasmodium falciparum uncharacterized domain	paralog_domain	
TIGR01520	FruBisAldo_II_A	fructose-bisphosphate aldolase, class II	equivalog	4.1.2.13
TIGR01521	FruBisAldo_II_B	fructose-bisphosphate aldolase, class II, Calvin cycle subtype	equivalog	4.1.2.13
TIGR01522	ATPase-IIA2_Ca	calcium-transporting P-type ATPase, PMR1-type	equivalog	3.6.3.8
TIGR01523	ATPase-IID_K-Na	potassium/sodium efflux P-type ATPase, fungal-type	equivalog	3.6.3.-
TIGR01524	ATPase-IIIB_Mg	magnesium-translocating P-type ATPase	equivalog	3.6.3.2
TIGR01525	ATPase-IB_hvy	heavy metal translocating P-type ATPase	subfamily	3.6.3.-
TIGR01526	nadR_NMN_Atrans	nicotinamide-nucleotide adenylyltransferase	equivalog_domain	2.7.7.1
TIGR01527	arch_NMN_Atrans	nicotinamide-nucleotide adenylyltransferase	equivalog	2.7.7.1
TIGR01528	NMN_trans_PnuC	nicotinamide mononucleotide transporter PnuC	subfamily	
TIGR01529	argR_whole	arginine repressor	equivalog	
TIGR01530	nadN	NAD nucleotidase	equivalog	3.1.3.5 3.6.1.22
TIGR01531	glyc_debranch	glycogen debranching enzyme	equivalog	
TIGR01532	E4PD_g-proteo	erythrose-4-phosphate dehydrogenase	equivalog	1.2.1.72
TIGR01533	lipo_e_P4	5'-nucleotidase, lipoprotein e(P4) family	equivalog	
TIGR01534	GAPDH-I	glyceraldehyde-3-phosphate dehydrogenase, type I	equivalog	1.2.1.-
TIGR01535	glucan_glucosid	glucan 1,4-alpha-glucosidase	equivalog	3.2.1.3
TIGR01536	asn_synth_AEB	asparagine synthase (glutamine-hydrolyzing)	equivalog	6.3.5.4
TIGR01537	portal_HK97	phage portal protein, HK97 family	equivalog	
TIGR01538	portal_SPP1	phage portal protein, SPP1 family	equivalog	
TIGR01539	portal_lambda	phage portal protein, lambda family	equivalog	
TIGR01540	portal_PBSX	phage portal protein, PBSX family	equivalog	
TIGR01541	tape_meas_lam_C	phage tail tape measure protein, lambda family	equivalog_domain	
TIGR01542	A118_put_portal	phage portal protein, putative, A118 family	hypoth_equivalog	
TIGR01543	proheadase_HK97	phage prohead protease, HK97 family	equivalog	3.4.-.-
TIGR01544	HAD-SF-IE	HAD hydrolase, family IE	hypoth_equivalog	
TIGR01545	YfhB_g-proteo	HAD hydrolase, family IF	hypoth_equivalog	
TIGR01546	GAPDH-II_archae	glyceraldehyde-3-phosphate dehydrogenase, type II	equivalog	1.2.1.59
TIGR01547	phage_term_2	phage terminase, large subunit, PBSX family	equivalog	
TIGR01548	HAD-SF-IA-hyp1	HAD hydrolase, TIGR01548 family	hypoth_equivalog	
TIGR01549	HAD-SF-IA-v1	HAD hydrolase, family IA, variant 1	subfamily	
TIGR01550	DOC_P1	death-on-curing family protein	subfamily	
TIGR01551	major_capsid_P2	phage major capsid protein, P2 family	equivalog	
TIGR01552	phd_fam	prevent-host-death family protein	subfamily	
TIGR01553	formate-DH-alph	formate dehydrogenase-N alpha subunit	equivalog	1.1.5.6
TIGR01554	major_cap_HK97	phage major capsid protein, HK97 family	equivalog	
TIGR01555	phge_rel_HI1409	phage-associated protein, HI1409 family	hypoth_equivalog	
TIGR01556	rhamnosyltran	rhamnosyltransferase	subfamily	2.4.1.-
TIGR01557	myb_SHAQKYF	myb-like DNA-binding domain, SHAQKYF class	subfamily_domain	
TIGR01558	sm_term_P27	putative phage terminase, small subunit, P27 family	equivalog	
TIGR01559	squal_synth	farnesyl-diphosphate farnesyltransferase	equivalog	2.5.1.21
TIGR01560	put_DNA_pack	uncharacterized phage protein (possible DNA packaging)	hypoth_equivalog	
TIGR01561	gde_arch	putative glycogen debranching enzyme, archaeal type	hypoth_equivalog	
TIGR01562	FdhE	formate dehydrogenase accessory protein FdhE	equivalog	
TIGR01563	gp16_SPP1	putative phage head-tail adaptor	hypoth_equivalog	
TIGR01564	S_layer_MJ	S-layer protein	subfamily	
TIGR01565	homeo_ZF_HD	homeobox domain, ZF-HD class	subfamily_domain	
TIGR01566	ZF_HD_prot_N	ZF-HD homeobox protein Cys/His-rich dimerization domain	domain	
TIGR01567	S_layer_rel_Mac	S-layer family duplication domain	subfamily_domain	
TIGR01568	A_thal_3678	uncharacterized plant-specific domain TIGR01568	domain	
TIGR01569	A_tha_TIGR01569	plant integral membrane protein TIGR01569	subfamily	
TIGR01570	A_thal_3588	uncharacterized plant-specific domain TIGR01570	subfamily_domain	
TIGR01571	A_thal_Cys_rich	uncharacterized Cys-rich domain	domain	
TIGR01572	A_thl_para_3677	Arabidopsis paralogous family TIGR01572	paralog	
TIGR01573	cas2	CRISPR-associated endonuclease Cas2	equivalog	
TIGR01574	miaB-methiolase	tRNA-i(6)A37 thiotransferase enzyme MiaB	equivalog	2.-.-.-
TIGR01575	rimI	ribosomal-protein-alanine acetyltransferase	equivalog	2.3.1.128
TIGR01577	oligosac_amyl	oligosaccharide amylase	hypoth_equivalog	
TIGR01578	MiaB-like-B	MiaB-like tRNA modifying enzyme, archaeal-type	hypoth_equivalog	
TIGR01579	MiaB-like-C	MiaB-like tRNA modifying enzyme	hypoth_equivalog	
TIGR01580	narG	nitrate reductase, alpha subunit	equivalog	1.7.99.4
TIGR01581	Mo_ABC_porter	NifC-like ABC-type porter	hypoth_equivalog	
TIGR01582	FDH-beta	formate dehydrogenase, beta subunit	equivalog	1.2.1.2
TIGR01583	formate-DH-gamm	formate dehydrogenase, gamma subunit	equivalog	1.2.1.2
TIGR01584	citF	citrate lyase, alpha subunit	equivalog	2.8.3.10
TIGR01586	yopT_cys_prot	cysteine protease domain, YopT-type	domain	
TIGR01587	cas3_core	CRISPR-associated helicase Cas3	equivalog_domain	
TIGR01588	citE	citrate (pro-3S)-lyase, beta subunit	equivalog	4.1.3.6
TIGR01589	A_thal_3526	uncharacterized plant-specific domain TIGR01589	domain	
TIGR01590	yir-bir-cir_Pla	yir/bir/cir-family of variant antigens	paralog	
TIGR01591	Fdh-alpha	formate dehydrogenase, alpha subunit	equivalog	1.2.1.2
TIGR01592	holin_SPP1	holin, SPP1 family	equivalog	
TIGR01593	holin_tox_secr	toxin secretion/phage lysis holin	subfamily	
TIGR01594	holin_lambda	phage holin, lambda family	equivalog	
TIGR01595	cas_CT1132	CRISPR-associated protein, CT1132 family	subfamily	
TIGR01596	cas3_HD	CRISPR-associated endonuclease Cas3-HD	equivalog_domain	3.1.-.-
TIGR01597	PYST-B	Plasmodium yoelii subtelomeric family PYST-B	paralog	
TIGR01598	holin_phiLC3	holin, phage phi LC3 family	equivalog	
TIGR01599	PYST-A	Plasmodium yoelii subtelomeric family PYST-A	paralog	
TIGR01600	phage_tail_L	phage minor tail protein L	equivalog	
TIGR01601	PYST-C1	Plasmodium yoelii subtelomeric domain PYST-C1	paralog	
TIGR01602	PY-rept-46	Plasmodium yoelii repeat of length 46	paralog_domain	
TIGR01603	maj_tail_phi13	phage major tail protein, phi13 family	subfamily	
TIGR01604	PYST-C2	Plasmodium yoelii subtelomeric domain PYST-C2	paralog_domain	
TIGR01605	PYST-D	Plasmodium yoelii subtelomeric family PYST-D	paralog	
TIGR01606	holin_BlyA	holin, BlyA family	equivalog	
TIGR01607	PST-A	Plasmodium subtelomeric family	paralog	
TIGR01608	citD	citrate lyase acyl carrier protein	equivalog	4.1.3.6
TIGR01609	PF_unchar_267	Plasmodium falciparum uncharacterized protein TIGR01609	paralog_domain	
TIGR01610	phage_O_Nterm	phage replication protein O, N-terminal domain	equivalog_domain	
TIGR01611	tail_tube	phage major tail tube protein	equivalog	
TIGR01612	235kDa-fam	rhoptry protein	paralog	
TIGR01613	primase_Cterm	phage/plasmid primase, P4 family, C-terminal domain	subfamily_domain	
TIGR01614	PME_inhib	pectinesterase inhibitor domain	domain	
TIGR01615	A_thal_3542	uncharacterized plant-specific domain TIGR01615	domain	
TIGR01616	nitro_assoc	nitrogenase-associated protein	hypoth_equivalog	
TIGR01617	arsC_related	transcriptional regulator, Spx/MgsR family	subfamily	
TIGR01618	phage_P_loop	phage nucleotide-binding protein	hypoth_equivalog	
TIGR01619	hyp_HI0040	TIGR01619 family protein	hypoth_equivalog	
TIGR01620	hyp_HI0043	TIGR01620 family protein	hypoth_equivalog	
TIGR01621	RluA-like	pseudouridine synthase Rlu family protein, TIGR01621	hypoth_equivalog	5.4.99.-
TIGR01622	SF-CC1	splicing factor, CC1-like family	subfamily	
TIGR01623	put_zinc_LRP1	putative zinc finger domain, LRP1 type	paralog_domain	
TIGR01624	LRP1_Cterm	LRP1 C-terminal domain	paralog_domain	
TIGR01625	YidE_YbjL_dupl	AspT/YidE/YbjL antiporter duplication domain	subfamily_domain	
TIGR01626	ytfJ_HI0045	conserved hypothetical protein YtfJ-family, TIGR01626	hypoth_equivalog	
TIGR01627	A_thal_3515	uncharacterized plant-specific domain TIGR01627	domain	
TIGR01628	PABP-1234	polyadenylate binding protein, human types 1, 2, 3, 4 family	subfamily	
TIGR01629	rep_II_X	phage/plasmid replication protein, gene II/X family	subfamily	
TIGR01630	psiM2_ORF9	phage uncharacterized protein, C-terminal domain	hypoth_equivalog	
TIGR01631	Trypano_RHS	trypanosome RHS family	paralog	
TIGR01632	L11_bact	ribosomal protein uL11	equivalog	
TIGR01633	phi3626_gp14_N	putative phage tail component, N-terminal domain	hypoth_equivalog_domain	
TIGR01634	tail_P2_I	phage tail protein I	equivalog	
TIGR01635	tail_comp_S	phage virion morphogenesis protein	equivalog	
TIGR01636	phage_rinA	phage transcriptional regulator, RinA family	subfamily	
TIGR01637	phage_arpU	phage transcriptional regulator, ArpU family	subfamily	
TIGR01638	Atha_cystat_rel	Arabidopsis thaliana cystatin-related protein	paralog_domain	
TIGR01639	P_fal_TIGR01639	Plasmodium falciparum uncharacterized domain TIGR01639	paralog_domain	
TIGR01640	F_box_assoc_1	F-box protein interaction domain	domain	
TIGR01641	phageSPP1_gp7	phage head morphogenesis protein, SPP1 gp7 family	domain	
TIGR01642	U2AF_lg	U2 snRNP auxilliary factor, large subunit, splicing factor	subfamily	
TIGR01643	YD_repeat_2x	YD repeat (two copies)	repeat	
TIGR01644	phage_P2_V	phage baseplate assembly protein V	subfamily	
TIGR01645	half-pint	poly-U binding splicing factor, half-pint family	subfamily	
TIGR01646	vgr_GE	Rhs element Vgr protein	subfamily	
TIGR01647	ATPase-IIIA_H	plasma-membrane proton-efflux P-type ATPase	equivalog	3.6.3.6
TIGR01648	hnRNP-R-Q	hnRNP-R, Q splicing factor family	subfamily	
TIGR01649	hnRNP-L_PTB	hnRNP-L/PTB/hephaestus splicing factor family	subfamily	
TIGR01650	PD_CobS	cobaltochelatase, CobS subunit	equivalog	6.6.1.2
TIGR01651	CobT	cobaltochelatase, CobT subunit	equivalog	6.6.1.2
TIGR01652	ATPase-Plipid	phospholipid-translocating P-type ATPase, flippase	subfamily	3.6.3.1
TIGR01653	lactococcin_972	bacteriocin, lactococcin 972 family	subfamily	
TIGR01654	bact_immun_7tm	bacteriocin-associated integral membrane protein	subfamily	
TIGR01655	yxeA_fam	conserved hypothetical protein	subfamily	
TIGR01656	Histidinol-ppas	histidinol-phosphate phosphatase domain	subfamily_domain	
TIGR01657	P-ATPase-V	P-type ATPase of unknown pump specificity (type V)	hypoth_equivalog	
TIGR01658	EYA-cons_domain	EYA conserved domain	equivalog_domain	3.1.3.48
TIGR01659	sex-lethal	sex-lethal family splicing factor	subfamily	
TIGR01660	narH	nitrate reductase, beta subunit	equivalog	1.7.99.4
TIGR01661	ELAV_HUD_SF	ELAV/HuD family splicing factor	subfamily	
TIGR01662	HAD-SF-IIIA	HAD hydrolase, family IIIA	subfamily_domain	
TIGR01663	PNK-3'Pase	polynucleotide kinase 3'-phosphatase	equivalog	3.1.3.32
TIGR01664	DNA-3'-Pase	DNA 3'-phosphatase	equivalog_domain	3.1.3.32
TIGR01665	put_anti_recept	phage minor structural protein, N-terminal region	subfamily_domain	
TIGR01666	YCCS	TIGR01666 family membrane protein	hypoth_equivalog	
TIGR01667	YCCS_YHJK	integral membrane protein, YccS/YhfK family	subfamily	
TIGR01668	YqeG_hyp_ppase	HAD phosphatase, family IIIA	hypoth_equivalog	3.1.3.-
TIGR01669	phage_XkdX	phage uncharacterized protein, XkdX family	equivalog	
TIGR01670	KdsC-phosphatas	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family	subfamily	3.1.3.45
TIGR01671	phage_TIGR01671	phage conserved hypothetical protein TIGR01671	hypoth_equivalog	
TIGR01672	AphA	HAD phosphatase, family IIIB	hypoth_equivalog	3.1.3.-
TIGR01673	holin_LLH	phage holin, LL-H family	equivalog	
TIGR01674	phage_lambda_G	phage minor tail protein G	equivalog	
TIGR01675	plant-AP	plant acid phosphatase	equivalog	
TIGR01676	GLDHase	galactonolactone dehydrogenase	equivalog	1.3.2.3
TIGR01677	pln_FAD_oxido	plant-specific FAD-dependent oxidoreductase	subfamily	1.-.-.-
TIGR01678	FAD_lactone_ox	sugar 1,4-lactone oxidases	subfamily	
TIGR01679	bact_FAD_ox	FAD-linked oxidoreductase	subfamily	
TIGR01680	Veg_Stor_Prot	vegetative storage protein	equivalog	
TIGR01681	HAD-SF-IIIC	HAD phosphatase, family IIIC	subfamily_domain	
TIGR01682	moaD	molybdopterin converting factor, subunit 1	equivalog	
TIGR01683	thiS	thiamine biosynthesis protein ThiS	equivalog	
TIGR01684	viral_ppase	viral phosphatase	hypoth_equivalog	
TIGR01685	MDP-1	magnesium-dependent phosphatase-1	equivalog	
TIGR01686	FkbH	FkbH domain	subfamily_domain	
TIGR01687	moaD_arch	MoaD family protein	subfamily	
TIGR01688	dltC	D-alanine--poly(phosphoribitol) ligase, subunit 2	equivalog	6.1.1.13
TIGR01689	EcbF-BcbF	capsule biosynthesis phosphatase	subfamily	
TIGR01690	ICE_RAQPRD	integrative conjugative element protein, RAQPRD family	hypoth_equivalog	
TIGR01691	enolase-ppase	2,3-diketo-5-methylthio-1-phosphopentane phosphatase	equivalog	3.1.3.77
TIGR01692	HIBADH	3-hydroxyisobutyrate dehydrogenase	equivalog	1.1.1.31
TIGR01693	UTase_glnD	protein-P-II uridylyltransferase	equivalog	2.7.7.59
TIGR01694	MTAP	methylthioadenosine phosphorylase	equivalog	2.4.2.28
TIGR01695	murJ_mviN	murein biosynthesis integral membrane protein MurJ	equivalog	
TIGR01696	deoB	phosphopentomutase	equivalog	5.4.2.7
TIGR01697	PNPH-PUNA-XAPA	inosine/guanosine/xanthosine phosphorylase family	subfamily	2.4.2.1
TIGR01698	PUNP	purine nucleotide phosphorylase	equivalog	2.4.2.1
TIGR01699	XAPA	xanthosine phosphorylase	equivalog	2.4.2.1
TIGR01700	PNPH	purine nucleoside phosphorylase I, inosine and guanosine-specific	equivalog	2.4.2.1
TIGR01701	Fdhalpha-like	oxidoreductase alpha (molybdopterin) subunit	hypoth_equivalog	
TIGR01702	CO_DH_cata	carbon-monoxide dehydrogenase, catalytic subunit	equivalog	1.2.99.2
TIGR01703	hybrid_clust	hydroxylamine reductase	equivalog	1.7.-.-
TIGR01704	MTA/SAH-Nsdase	MTA/SAH nucleosidase	equivalog	3.2.2.16 3.2.2.9
TIGR01705	MTA/SAH-nuc-hyp	putative 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	hypoth_equivalog	
TIGR01706	NAPA	periplasmic nitrate reductase, large subunit	equivalog	1.7.99.4
TIGR01707	gspI	type II secretion system protein I	equivalog	
TIGR01708	typeII_sec_gspH	type II secretion system protein H	equivalog	
TIGR01709	typeII_sec_gspL	type II secretion system protein L	equivalog	
TIGR01710	typeII_sec_gspG	type II secretion system protein G	equivalog	
TIGR01711	gspJ	type II secretion system protein J	equivalog	
TIGR01712	phage_N6A_met	phage N-6-adenine-methyltransferase	equivalog	2.1.1.72
